school_name,stations,reason
市立東,鶴見;菊名;新横浜;東神奈川,★算出の大口は公式案内に一切無い。4駅ともバス。筆頭は鶴見・京急鶴見
元石川,たまプラーザ;あざみ野;新百合ヶ丘,算出のあざみ野も公式にあるが2番目。筆頭はたまプラーザ（バス約10分）
霧が丘,十日市場;青葉台;長津田;三ツ境;鶴ヶ峰,★算出のすずかけ台は公式案内に無い。筆頭は十日市場（バスで霧が丘高校前）
川崎北,鷺沼;宮前平;センター北;武蔵小杉;武蔵中原,公式は「鷺沼駅または宮前平駅より徒歩18分」と並記。バスは鷺沼発なので鷺沼を先頭にした（東京の足立東と同じ判断）
百合丘,新百合ヶ丘;百合ヶ丘;生田;溝の口;武蔵溝ノ口;宮前平,★算出の読売ランド前は公式案内に無い。筆頭は新百合ヶ丘（バスで百合丘高校前）。公式の「溝の口」は田園都市線・南武線の両方を指すので東急溝の口とJR武蔵溝ノ口の両方を入れた
大師,川崎;大師橋,算出の大師橋も公式にあるが2番目で徒歩25分。筆頭は川崎駅東口からのバス
光陵,東戸塚;保土ヶ谷;西横浜,算出の東戸塚が公式でも「最寄駅」と明記されていて一致。ただし2km圏に駅が無いので、公式がバス経路を案内する保土ケ谷・西横浜も足した
横浜氷取沢,洋光台;金沢文庫;能見台,算出の能見台も公式にあるが3番目で徒歩22分。筆頭は洋光台からのバス（案内は画像内の文字）
金井,戸塚;大船,算出の大船も公式にあるが2番目。筆頭は戸塚バスセンターからのバス
旭,三ツ境;二俣川,算出の三ツ境が公式の筆頭で一致。2km圏に駅が無いので二俣川も足した。「バス1本で来られる」と名前だけ挙がる鶴ヶ峰・中山・横浜・十日市場は経路の案内が無いので入れない
上矢部,戸塚;踊場;弥生台,算出の踊場も公式にあるが徒歩20分で2番目。筆頭は戸塚（バスの所要を時間帯別に詳述）
保土ケ谷,鶴ヶ峰;和田町;東戸塚;西谷,算出の西谷は公式の最後で徒歩25分のみ。筆頭は鶴ヶ峰からのバス
横浜桜陽,戸塚;立場,★算出の踊場は公式案内に無い。公式は戸塚・立場からのバスのみ
藤沢西,辻堂;藤沢;湘南台,算出の辻堂が公式の筆頭で一致。2km圏に駅が無いので、バスで西高校前まで来られる藤沢・湘南台も足した
小田原東,小田原;国府津;鴨宮,算出の鴨宮は「バスの本数が少ない」として徒歩30分のみの案内で最後。筆頭は小田原駅東口からのバス
平塚湘風,平塚;本厚木;伊勢原,★算出の宮山は公式案内に無い。筆頭は平塚からのバス
麻溝台,相模大野;小田急相模原;古淵;相模原;原当麻,算出の原当麻も公式にあるが5駅中の最後。5駅とも同じ「麻溝台高校」行バスで並列。記載順の先頭は相模大野
厚木西,愛甲石田;本厚木,算出の愛甲石田が公式の筆頭で一致。2km圏に駅が無いので、バス経路のある本厚木も足した
綾瀬,さがみ野;海老名;長後,★算出のかしわ台は公式案内に無い。筆頭はさがみ野駅南口からのバス
相模田名,淵野辺;相模原;橋本;上溝,★算出の番田は公式案内に無い。筆頭は淵野辺駅南口からのバス
厚木北,本厚木,★算出の相武台下は公式案内に無い。公式は本厚木駅北口からのバスのみ
相模原城山,橋本;相模湖,★算出の相原は公式案内に無い。経路は画像のみだが見出しは橋本駅・相模湖駅の順
上鶴間,相模大野;町田;南町田グランベリーパーク,★算出の東林間は公式案内に無い。筆頭は相模大野（バスで上鶴間高校前）。公式の「南町田」は2019年に南町田グランベリーパークへ改称した駅
津久井,橋本;相模湖,算出の相模湖も公式にあるが2番目。筆頭は橋本からの三ケ木行バス
愛川,本厚木;海老名;淵野辺;上溝,★算出の番田は公式案内に無い。筆頭は本厚木からのバス約50分
中央農業,海老名;長後,★公式のアクセスは画像のみ。路線図で学校への経路が描かれているのは海老名（バス10分）と長後（バス35分）だけ。算出の厚木は地図に駅として描かれているが経路の案内は無い
海洋科学,三崎口;逗子;逗子・葉山;横須賀中央;衣笠,★算出の津久井浜は公式案内に無い。公式の記載順は逗子が先だが所要は三崎口20分・逗子40分で三崎口が最短なので先頭にした（東京の町田工科と同じ判断）。長井海洋実習場の案内は別で、ここには入れていない
吉田島,新松田;松田;開成,算出の開成も公式にあるが2番目で徒歩20分。筆頭は新松田・松田
商工,二俣川;保土ヶ谷;東戸塚,算出の東戸塚も公式にあるが最後。筆頭は相鉄二俣川からのバス
